x,y,Mean1,Mean2,Diff,,,,,,
76.5,8.5,1221.226429,1204.438636,16.78779221,,,,,,
77.5,8.5,566.8296429,557.1715909,9.658051948,,,,,,
78.5,8.5,657.9492857,690.5159091,-32.56662338,,,,,,
76.5,9.5,1410.213929,1343.41875,66.79517857,,,,1,2,d
77.5,9.5,902.9203571,843.5232955,59.39706169,,,min,2.659285714,3.120454545,-205.471526
78.5,9.5,384.0789286,401.5375,-17.45857143,,,max,3289.805357,3234.844318,284.9523052
79.5,9.5,546.0728571,617.9397727,-71.86691558,,,,,,
76.5,10.5,1835.218929,1820.977273,14.24165584,,,,,,
77.5,10.5,672.8921429,669.7346591,3.157483766,,,,,,
78.5,10.5,510.2010714,555.1653409,-44.96426948,,,,,,
79.5,10.5,481.6039286,537.6988636,-56.09493506,,,,,,
75.5,11.5,1872.070357,1859.404545,12.66581169,,,,,,
76.5,11.5,1291.465,1230.496023,60.96897727,,,,,,
77.5,11.5,505.9921429,527.2738636,-21.28172078,,,,,,
78.5,11.5,557.0007143,596.6948864,-39.69417208,,,,,,
79.5,11.5,578.5814286,636.0159091,-57.43448052,,,,,,
75.5,12.5,2495.6725,2488.140341,7.532159091,,,,,,
76.5,12.5,896.4532143,920.7267045,-24.27349026,,,,,,
77.5,12.5,546.1882143,589.0051136,-42.81689935,,,,,,
78.5,12.5,583.1107143,636.0034091,-52.89269481,,,,,,
79.5,12.5,645.6510714,680.6829545,-35.03188312,,,,,,
80.5,12.5,632.4514286,664.2488636,-31.79743506,,,,,,
74.5,13.5,2521.253571,2708.445455,-187.1918831,,,,,,
75.5,13.5,1226.404286,1187.881818,38.52246753,,,,,,
76.5,13.5,517.1792857,528.5590909,-11.37980519,,,,,,
77.5,13.5,532.7846429,607.0386364,-74.25399351,,,,,,
78.5,13.5,473.8996429,567.6534091,-93.75376623,,,,,,
79.5,13.5,584.0575,643.2840909,-59.22659091,,,,,,
80.5,13.5,639.4764286,675.2863636,-35.80993506,,,,,,
74.5,14.5,2016.751429,2031.291477,-14.5400487,,,,,,
75.5,14.5,825.2717857,792.4681818,32.8036039,,,,,,
76.5,14.5,424.9435714,435.9545455,-11.01097403,,,,,,
77.5,14.5,417.7439286,444.3982955,-26.65436688,,,,,,
78.5,14.5,494.6332143,543.8994318,-49.26621753,,,,,,
