x,y,Mean1,Mean2,Diff,,,,,,,
93.5,24.75,1632.410026,1566.334032,66.07599382,,,,,,,
93.75,24.75,1502.060031,1452.55603,49.50400101,,,,,,,
94,24.75,1455.685031,1424.750028,30.93500273,,,,,,,
93,25,2013.536281,1919.813034,93.72324716,,,,,,,
93.25,25,1687.155026,1618.94403,68.21099615,,,,,1,2,d
93.5,25,1622.948779,1568.59303,54.35574853,,,,min,607.6325119,598.0920105,-49.58099754
93.75,25,1558.742531,1518.24203,40.50050091,,,,max,2616.300047,2555.648036,157.2637522
94,25,1509.392529,1482.915029,26.47750065,,,,,,,
94.25,25,1460.042528,1447.588028,12.45450039,,,,,,,
94.5,25,1436.140026,1431.359027,4.780998936,,,,,,,
92.75,25.25,2385.400038,2274.252045,111.1479938,,,,,,,
93,25.25,1998.475035,1916.014035,82.46099974,,,,,,,
93.25,25.25,1611.550031,1557.776025,53.77400566,,,,,,,
93.5,25.25,1613.487531,1570.852028,42.63550323,,,,,,,
93.75,25.25,1615.425031,1583.92803,31.49700081,,,,,,,
94,25.25,1563.100028,1541.08003,22.01999857,,,,,,,
94.25,25.25,1510.775026,1498.232029,12.54299633,,,,,,,
94.5,25.25,1483.987525,1481.206028,2.78149683,,,,,,,
92.5,25.5,2583.827545,2484.522042,99.30550311,,,,,,,
92.75,25.5,2175.505037,2093.778043,81.72699377,,,,,,,
93,25.5,1903.773785,1839.968035,63.80575063,,,,,,,
93.25,25.5,1632.042533,1586.158026,45.88450748,,,,,,,
93.5,25.5,1598.16878,1559.423028,38.74575269,,,,,,,
93.75,25.5,1564.295027,1532.688029,31.6069979,,,,,,,
94,25.5,1540.395025,1518.62003,21.77499537,,,,,,,
94.25,25.5,1516.495023,1504.55203,11.94299285,,,,,,,
94.5,25.5,1487.637524,1483.635028,4.002495775,,,,,,,
94.75,25.5,1458.780024,1462.718026,-3.938001299,,,,,,,
89.75,25.75,1976.280038,1929.772041,46.50799728,,,,,,,
90,25.75,2078.030039,2029.954043,48.07599657,,,,,,,
92.25,25.75,2616.300047,2555.648036,60.65201134,,,,,,,
92.5,25.75,2290.955042,2234.476039,56.47900253,,,,,,,
92.75,25.75,1965.610036,1913.304042,52.30599373,,,,,,,
93,25.75,1809.072536,1763.922035,45.15050152,,,,,,,
93.25,25.75,1652.535036,1614.540027,37.99500931,,,,,,,
93.5,25.75,1582.85003,1547.994028,34.85600215,,,,,,,
93.75,25.75,1513.165023,1481.448028,31.71699499,,,,,,,
94,25.75,1517.690022,1496.160029,21.52999218,,,,,,,
94.25,25.75,1522.21502,1510.87203,11.34298937,,,,,,,
94.5,25.75,1491.287523,1486.064028,5.22349472,,,,,,,
94.75,25.75,1460.360025,1461.256025,-0.895999928,,,,,,,
95,25.75,1442.532525,1448.586024,-6.053498774,,,,,,,
89.25,26,2098.080036,2037.930039,60.14999685,,,,,,,
89.5,26,2086.268786,2033.32904,52.93974595,,,,,,,
89.75,26,2074.457536,2028.728041,45.72949505,,,,,,,
90,26,2094.516288,2048.095043,46.4212451,,,,,,,
90.25,26,2114.575041,2067.462045,47.11299515,,,,,,,
90.5,26,2167.81504,2123.245046,44.56999407,,,,,,,
