x,y,Mean1,Mean2,Diff,,,,,,,
76.5,8.5,1194.57,1273.135417,-78.56541667,,,,,,,
77.5,8.5,592.75875,598.4635417,-5.704791667,,,,,,,
78.5,8.5,703.5825,723.6479167,-20.06541667,,,,,,,
76.5,9.5,1456.5275,1411.759375,44.768125,,,,,,,
77.5,9.5,957.6825,880.1458333,77.53666667,,,,,1,2,d
78.5,9.5,418.395,412.8052083,5.589791667,,,,min,2.85,2.755208333,-622.5816667
79.5,9.5,624.06875,617.8791667,6.189583333,,,,max,3256.15875,3286.072917,250.9947917
76.5,10.5,1802.81875,1921.895833,-119.0770833,,,,,,,
77.5,10.5,688.26875,705.771875,-17.503125,,,,,,,
78.5,10.5,515.03875,573.39375,-58.355,,,,,,,
79.5,10.5,509.25625,549.846875,-40.590625,,,,,,,
75.5,11.5,1836.49125,1964.082292,-127.5910417,,,,,,,
76.5,11.5,1356.45,1314.566667,41.88333333,,,,,,,
77.5,11.5,525.17625,560.0489583,-34.87270833,,,,,,,
78.5,11.5,579.695,626.1010417,-46.40604167,,,,,,,
79.5,11.5,605.3175,654.9291667,-49.61166667,,,,,,,
75.5,12.5,2426.1875,2611.252083,-185.0645833,,,,,,,
76.5,12.5,898.38375,1000.525,-102.14125,,,,,,,
77.5,12.5,543.5725,642.2864583,-98.71395833,,,,,,,
78.5,12.5,623.45375,673.7260417,-50.27229167,,,,,,,
79.5,12.5,671.72375,714.0677083,-42.34395833,,,,,,,
80.5,12.5,644.9275,686.44375,-41.51625,,,,,,,
74.5,13.5,2394.4925,2846.804167,-452.3116667,,,,,,,
75.5,13.5,1180.55625,1258.561458,-78.00520833,,,,,,,
76.5,13.5,527.72875,575.409375,-47.680625,,,,,,,
77.5,13.5,539.755,651.6072917,-111.8522917,,,,,,,
78.5,13.5,481.5875,593.0072917,-111.4197917,,,,,,,
79.5,13.5,590.46125,668.2770833,-77.81583333,,,,,,,
80.5,13.5,643.4575,709.6041667,-66.14666667,,,,,,,
74.5,14.5,1924.975,2157.119792,-232.1447917,,,,,,,
75.5,14.5,806.47875,849.6520833,-43.17333333,,,,,,,
76.5,14.5,433.4825,471.8114583,-38.32895833,,,,,,,
77.5,14.5,402.95875,482.803125,-79.844375,,,,,,,
78.5,14.5,489.93625,587.4958333,-97.55958333,,,,,,,
79.5,14.5,545.405,646.5479167,-101.1429167,,,,,,,
80.5,14.5,641.1075,745.9479167,-104.8404167,,,,,,,
73.5,15.5,2080.8825,2600.045833,-519.1633333,,,,,,,
74.5,15.5,1541.18375,1522.316667,18.86708333,,,,,,,
75.5,15.5,564.94875,588.028125,-23.079375,,,,,,,
76.5,15.5,407.10625,469.7364583,-62.63020833,,,,,,,
77.5,15.5,444.28875,526.4833333,-82.19458333,,,,,,,
78.5,15.5,490.70625,601.4260417,-110.7197917,,,,,,,
79.5,15.5,529.92,636.4552083,-106.5352083,,,,,,,
80.5,15.5,713.63375,842.784375,-129.150625,,,,,,,
73.5,16.5,1690.55625,2230.978125,-540.421875,,,,,,,
74.5,16.5,917.26375,991.384375,-74.120625,,,,,,,
75.5,16.5,484.18875,611.5385417,-127.3497917,,,,,,,
76.5,16.5,499.35375,623.7125,-124.35875,,,,,,,
77.5,16.5,648.48125,766.45625,-117.975,,,,,,,
78.5,16.5,612.74125,729.4197917,-116.6785417,,,,,,,
79.5,16.5,645.51125,749.5239583,-104.0127083,,,,,,,
80.5,16.5,695.56875,877.6447917,-182.0760417,,,,,,,
81.5,16.5,822.05875,998.1625,-176.10375,,,,,,,
82.5,16.5,825.3925,1042.808333,-217.4158333,,,,,,,
73.5,17.5,1533.11625,2041.204167,-508.0879167,,,,,,,
74.5,17.5,634.12375,792.3197917,-158.1960417,,,,,,,
75.5,17.5,533.96375,691.6739583,-157.7102083,,,,,,,
76.5,17.5,645.03625,787.215625,-142.179375,,,,,,,
77.5,17.5,772.705,882.3458333,-109.6408333,,,,,,,
78.5,17.5,736.05625,837.1260417,-101.0697917,,,,,,,
79.5,17.5,741.65625,871.9520833,-130.2958333,,,,,,,
80.5,17.5,806.8525,1011.520833,-204.6683333,,,,,,,
81.5,17.5,878.21875,1024.890625,-146.671875,,,,,,,
82.5,17.5,892.03125,1043.795833,-151.7645833,,,,,,,
72.5,18.5,1556.115,1947.002083,-390.8870833,,,,,,,
73.5,18.5,1192.88625,1536.101042,-343.2147917,,,,,,,
74.5,18.5,595.94625,733.153125,-137.206875,,,,,,,
75.5,18.5,590.9775,733.2364583,-142.2589583,,,,,,,
76.5,18.5,753.88625,886.2020833,-132.3158333,,,,,,,
77.5,18.5,870.68125,990.74375,-120.0625,,,,,,,
78.5,18.5,810.8625,1039.939583,-229.0770833,,,,,,,
79.5,18.5,801.1125,976.4354167,-175.3229167,,,,,,,
80.5,18.5,948.795,1080.105208,-131.3102083,,,,,,,
81.5,18.5,1078.14875,1160.4,-82.25125,,,,,,,
82.5,18.5,1096.98875,1156.488542,-59.49979167,,,,,,,
83.5,18.5,863.9175,961.565625,-97.648125,,,,,,,
84.5,18.5,1138.99375,1276.434375,-137.440625,,,,,,,
72.5,19.5,1658.81,2281.391667,-622.5816667,,,,,,,
73.5,19.5,1233.56375,1462.971875,-229.408125,,,,,,,
74.5,19.5,593.34875,688.9364583,-95.58770833,,,,,,,
75.5,19.5,628.57,734.5614583,-105.9914583,,,,,,,
76.5,19.5,718.79625,850.6458333,-131.8495833,,,,,,,
77.5,19.5,812.90375,905.2270833,-92.32333333,,,,,,,
78.5,19.5,887.7675,1040.541667,-152.7741667,,,,,,,
79.5,19.5,872.2,1049.072917,-176.8729167,,,,,,,
80.5,19.5,1054.79875,1149.520833,-94.72208333,,,,,,,
81.5,19.5,1196.835,1207.792708,-10.95770833,,,,,,,
82.5,19.5,1203.02625,1212.902083,-9.875833333,,,,,,,
83.5,19.5,1028.37125,1085.39375,-57.0225,,,,,,,
84.5,19.5,950.63,1060.65,-110.02,,,,,,,
85.5,19.5,1109.215,1256.322917,-147.1079167,,,,,,,
70.5,20.5,517.2,996.1166667,-478.9166667,,,,,,,
71.5,20.5,725.5825,1150.39375,-424.81125,,,,,,,
72.5,20.5,1272.905,1641.61875,-368.71375,,,,,,,
73.5,20.5,1306.39875,1635.378125,-328.979375,,,,,,,
74.5,20.5,689.4825,871.7041667,-182.2216667,,,,,,,
75.5,20.5,612.22875,715.4083333,-103.1795833,,,,,,,
76.5,20.5,703.63625,755.9875,-52.35125,,,,,,,
77.5,20.5,732.445,802.0395833,-69.59458333,,,,,,,
78.5,20.5,979.4825,1029.205208,-49.72270833,,,,,,,
