x,y,Mean1,Mean2,Diff,,,,,
93.5,24.75,2302.375038,2181.990043,120.384995,,,,,
93.75,24.75,2060.051466,1953.320041,106.7314254,,,1,2,d
94,24.75,1972.090748,1875.195593,96.89515567,,min,763.4078713,719.2277896,-13.88539428
93,25,2862.460047,2703.92838,158.5316676,,max,3502.365774,3366.864498,184.7744414
93.25,25,2439.250755,2317.057819,122.192936,,,,,
93.5,25,2274.612181,2161.230039,113.3821419,,,,,
93.75,25,2109.973608,2005.40226,104.5713478,,,,,
94,25,2022.948963,1925.887258,97.06170553,,,,,
94.25,25,1935.924318,1846.372255,89.55206327,,,,,
94.5,25,1902.914318,1825.334477,77.5798416,,,,,
92.75,25.25,3271.030053,3086.255611,184.7744414,,,,,
93,25.25,2802.416476,2654.855601,147.5608744,,,,,
93.25,25.25,2333.802899,2223.455591,110.3473074,,,,,
93.5,25.25,2246.849324,2140.470035,106.3792888,,,,,
93.75,25.25,2159.89575,2057.484479,102.4112702,,,,,
94,25.25,2073.807178,1976.578922,97.22825538,,,,,
94.25,25.25,1987.718606,1895.673366,92.04524059,,,,,
94.5,25.25,1942.842892,1863.852254,78.99063817,,,,,
92.5,25.5,3498.226845,3321.427279,176.7995655,,,,,
92.75,25.5,3001.133622,2851.073385,150.060237,,,,,
93,25.5,2668.672546,2541.712266,126.9602799,,,,,
93.25,25.5,2336.21147,2232.351147,103.8603228,,,,,
93.5,25.5,2237.702181,2137.770035,99.93214549,,,,,
93.75,25.5,2139.192892,2043.188924,96.00396821,,,,,
94,25.5,2069.825034,1976.718924,93.10611022,,,,,
94.25,25.5,2000.457177,1910.248925,90.20825223,,,,,
94.5,25.5,1950.480391,1870.1467,80.33369149,,,,,
94.75,25.5,1900.503606,1830.044475,70.45913076,,,,,
89.75,25.75,2485.447186,2455.802268,29.64491855,,,,,
90,25.75,2669.58362,2627.16116,42.42246049,,,,,
92.25,25.75,3502.365774,3366.864498,135.5012763,,,,,
92.5,25.75,3116.801483,2991.377828,125.4236544,,,,,
92.75,25.75,2731.237192,2615.891159,115.3460326,,,,,
93,25.75,2534.928617,2428.568931,106.3596854,,,,,
93.25,25.75,2338.620041,2241.246703,97.3733381,,,,,
93.5,25.75,2228.555038,2135.070036,93.48500217,,,,,
93.75,25.75,2118.490035,2028.893368,89.59666624,,,,,
94,25.75,2065.842891,1976.858926,88.98396505,,,,,
94.25,25.75,2013.195748,1924.824484,88.37126386,,,,,
94.5,25.75,1958.117891,1876.441146,81.67674482,,,,,
94.75,25.75,1903.040034,1828.057809,74.98222577,,,,,
95,25.75,1880.566461,1810.873363,69.69309814,,,,,
89.25,26,2497.477186,2491.064489,6.412697034,,,,,
89.5,26,2536.68433,2522.350045,14.33428493,,,,,
89.75,26,2575.891473,2553.6356,22.25587283,,,,,
90,26,2660.535048,2627.800604,32.73444487,,,,,
90.25,26,2745.178624,2701.965607,43.21301691,,,,,
90.5,26,2846.475052,2793.450609,53.02444273,,,,,
90.75,26,2947.77148,2884.935611,62.83586855,,,,,
91,26,3063.931483,2991.826724,72.10475933,,,,,
91.25,26,3180.091486,3098.717836,81.37365011,,,,,
91.5,26,3206.491128,3130.539504,75.95162334,,,,,
91.75,26,3232.890769,3162.361173,70.52959658,,,,,
92,26,3093.003624,3008.432831,84.57079291,,,,,
92.25,26,2953.116479,2854.50449,98.61198924,,,,,
92.5,26,2737.610404,2640.446711,97.16369259,,,,,
92.75,26,2522.104329,2426.388933,95.71539595,,,,,
93,26,2403.980041,2312.192263,91.78777819,,,,,
93.25,26,2285.855753,2197.995592,87.86016043,,,,,
93.5,26,2214.021822,2126.61448,87.40734243,,,,,
93.75,26,2142.187892,2055.233368,86.95452443,,,,,
94,26,2103.694677,2015.668924,88.02575275,,,,,
94.25,26,2065.201462,1976.10448,89.09698107,,,,,
94.5,26,2010.983246,1926.132256,84.85099028,,,,,
94.75,26,1956.765031,1876.160032,80.60499949,,,,,
95,26,1897.554317,1823.627254,73.92706326,,,,,
89,26.25,2634.785754,2618.363378,16.42237592,,,,,
89.25,26.25,2712.672902,2700.048937,12.6239657,,,,,
89.5,26.25,2689.504331,2675.758934,13.7453964,,,,,
89.75,26.25,2666.335759,2651.468932,14.8668271,,,,,
90,26.25,2651.486477,2628.440048,23.04642924,,,,,
90.25,26.25,2636.637194,2605.411163,31.22603138,,,,,
90.5,26.25,2630.827905,2595.228939,35.59896638,,,,,
90.75,26.25,2625.018617,2585.046715,39.97190138,,,,,
91,26.25,2562.355046,2524.391159,37.96388732,,,,,
91.25,26.25,2499.691476,2463.735603,35.95587326,,,,,
91.5,26.25,2438.122186,2401.1856,36.93658673,,,,,
91.75,26.25,2376.552897,2338.635596,37.91730021,,,,,
92,26.25,2390.21004,2340.390039,49.8200012,,,,,
92.25,26.25,2403.867184,2342.144482,61.7227022,,,,,
92.5,26.25,2358.419325,2289.515594,68.90373074,,,,,
92.75,26.25,2312.971466,2236.886707,76.08475929,,,,,
93,26.25,2273.031465,2195.815594,77.21587102,,,,,
93.25,26.25,2233.091464,2154.744482,78.34698275,,,,,
93.5,26.25,2199.488607,2118.158924,81.32968268,,,,,
93.75,26.25,2165.88575,2081.573367,84.31238261,,,,,
94,26.25,2141.546463,2054.478922,87.06754044,,,,,
94.25,26.25,2117.207175,2027.384477,89.82269827,,,,,
94.5,26.25,2063.848602,1975.823366,88.02523574,,,,,
94.75,26.25,2010.490028,1924.262255,86.22777321,,,,,
95,26.25,1914.542173,1836.381144,78.16102838,,,,,
88.75,26.5,2591.183611,2570.013375,21.17023658,,,,,
89,26.5,2649.612542,2636.908377,12.70416539,,,,,
89.25,26.5,2708.041473,2703.803378,4.238094195,,,,,
89.5,26.5,2691.655046,2685.820047,5.834998282,,,,,
89.75,26.5,2675.268619,2667.836716,7.43190237,,,,,
90,26.5,2645.028619,2635.570604,9.458014468,,,,,
90.25,26.5,2614.788619,2603.304492,11.48412657,,,,,
90.5,26.5,2603.836118,2585.027827,18.80829133,,,,,
90.75,26.5,2592.883618,2566.751162,26.13245608,,,,,
91,26.5,2530.913617,2504.666713,26.2469033,,,,,
91.25,26.5,2468.943616,2442.582265,26.36135052,,,,,
91.5,26.5,2414.872184,2386.822819,28.04936484,,,,,
91.75,26.5,2360.800752,2331.063373,29.73737916,,,,,
92,26.5,2329.303967,2290.988927,38.31504056,,,,,
92.25,26.5,2297.807182,2250.91448,46.89270197,,,,,
92.5,26.5,2255.687538,2202.248926,53.43861184,,,,,
92.75,26.5,2213.567895,2153.583373,59.9845217,,,,,
93,26.5,2196.471464,2132.282816,64.18864853,,,,,
93.25,26.5,2179.375034,2110.982259,68.39277535,,,,,
93.5,26.5,2170.486821,2097.105592,73.38122901,,,,,
93.75,26.5,2161.598607,2083.228925,78.36968267,,,,,
94,26.5,2163.435036,2079.962257,83.47277865,,,,,
94.25,26.5,2165.271465,2076.69559,88.57587463,,,,,
94.5,26.5,2136.100748,2045.551702,90.54904655,,,,,
94.75,26.5,2106.930032,2014.407814,92.52221847,,,,,
95,26.5,1971.93396,1887.206145,84.72781504,,,,,
95.25,26.5,1836.937888,1760.004476,76.93341161,,,,,
88.25,26.75,2366.848609,2320.802262,46.04634728,,,,,
88.5,26.75,2496.158613,2462.075596,34.08301715,,,,,
88.75,26.75,2625.468617,2603.34893,22.11968703,,,,,
89,26.75,2664.43933,2655.453375,8.985954856,,,,,
89.25,26.75,2703.410043,2707.55782,-4.147777314,,,,,
89.5,26.75,2693.80576,2695.88116,-2.075399839,,,,,
89.75,26.75,2684.201478,2684.2045,-0.003022365,,,,,
90,26.75,2638.570761,2642.701161,-4.130400304,,,,,
90.25,26.75,2592.940044,2601.197822,-8.257778243,,,,,
