x,y,Mean,Sd,,,,,,
76.5,8.5,162.2016447,137.7516925,,,,,,
77.5,8.5,94.24692982,80.58936538,,,,,,
78.5,8.5,120.4373538,104.8978125,,,,,,
76.5,9.5,168.0453765,138.2257686,,,,,,
77.5,9.5,122.2295139,90.6840878,,,,,1,2
78.5,9.5,73.81988304,82.45516771,,,,min,5.228344298,8.036480595
79.5,9.5,113.5571637,123.4154738,,,,max,361.6742142,375.1815466
76.5,10.5,194.6360928,198.467502,,,,,,
77.5,10.5,90.52518275,75.42530096,,,,,,
78.5,10.5,75.34248904,75.28271625,,,,,,
79.5,10.5,97.27779605,116.2583756,,,,,,
75.5,11.5,187.4173063,220.9373682,,,,,,
76.5,11.5,137.5810673,134.775983,,,,,,
77.5,11.5,67.28037281,62.10953578,,,,,,
78.5,11.5,77.35606725,75.54949022,,,,,,
79.5,11.5,102.163231,124.7892057,,,,,,
75.5,12.5,234.5541301,304.4733337,,,,,,
76.5,12.5,99.33994883,96.12399674,,,,,,
77.5,12.5,69.03770102,69.30014675,,,,,,
78.5,12.5,75.99981725,74.80273573,,,,,,
79.5,12.5,95.72662646,105.7219513,,,,,,
80.5,12.5,101.9878655,122.983186,,,,,,
74.5,13.5,237.9191886,323.3263372,,,,,,
75.5,13.5,120.7222039,140.7403483,,,,,,
76.5,13.5,60.74031433,60.20137522,,,,,,
77.5,13.5,63.25529971,68.90298297,,,,,,
78.5,13.5,60.98558114,64.3084926,,,,,,
79.5,13.5,82.54937865,94.08191638,,,,,,
80.5,13.5,93.70709064,112.270125,,,,,,
74.5,14.5,184.8466192,251.4072314,,,,,,
75.5,14.5,82.8498538,90.13718231,,,,,,
76.5,14.5,49.09923246,52.38332279,,,,,,
77.5,14.5,47.27872807,56.58330393,,,,,,
78.5,14.5,55.78601974,62.93993288,,,,,,
79.5,14.5,74.08260234,92.22971003,,,,,,
80.5,14.5,81.80895468,87.58170359,,,,,,
73.5,15.5,205.1795322,302.9151194,,,,,,
74.5,15.5,144.2649306,193.368346,,,,,,
75.5,15.5,59.97063231,61.88809805,,,,,,
76.5,15.5,45.32353801,52.18042399,,,,,,
77.5,15.5,47.58340643,54.90071155,,,,,,
78.5,15.5,54.27865497,62.18371662,,,,,,
79.5,15.5,64.93678728,76.92466891,,,,,,
80.5,15.5,82.93684211,90.78383152,,,,,,
73.5,16.5,172.0347039,246.5524126,,,,,,
74.5,16.5,89.89152047,115.6921312,,,,,,
75.5,16.5,54.61924342,61.83043299,,,,,,
76.5,16.5,53.72330044,64.34959076,,,,,,
77.5,16.5,64.07280702,78.82513175,,,,,,
78.5,16.5,62.18640351,73.47460189,,,,,,
79.5,16.5,66.85544591,74.5970074,,,,,,
80.5,16.5,77.90745614,86.1737184,,,,,,
